location,title,name
Mirihana,A/L Chemistry (Home visit/physical/online classes for individuals & groups) in Sinhala medium,Mr. Thilina Hemachandra
Battaramulla,A/L Chemistry (Home visit/physical/online classes for individuals & groups) in Sinhala medium,Mr. Thilina Hemachandra
Kiribathgoda,A/L Chemistry (Home visit/physical/online classes for individuals & groups) in Sinhala medium,Mr. Thilina Hemachandra
Kelaniya,A / L Chemistry 2024 Theory,Mr. Madushanka Kuruppu
Gampaha,A / L Chemistry 2024 Theory,Mr. Madushanka Kuruppu
Peliyagoda,A / L Chemistry 2024 Theory,Mr. Madushanka Kuruppu
Athurugiriya,A / L Chemistry 2024 Theory,Mr. Madushanka Kuruppu
Nugegoda,AL Chemistry INDIVIDUAL Class ( RS 800/= 1 Hour ) අඩුම ගාස්තු - කොළඹ දිස්ත්‍රික් individual,Mr. Niroshan Darshana
Gampaha,AL Chemistry INDIVIDUAL Class ( RS 800/= 1 Hour ) අඩුම ගාස්තු - කොළඹ දිස්ත්‍රික් individual,Mr. Niroshan Darshana
Athurugiriya,AL Chemistry INDIVIDUAL Class ( RS 800/= 1 Hour ) අඩුම ගාස්තු - කොළඹ දිස්ත්‍රික් individual,Mr. Niroshan Darshana
Battaramulla,AL Chemistry INDIVIDUAL Class ( RS 800/= 1 Hour ) අඩුම ගාස්තු - කොළඹ දිස්ත්‍රික් individual,Mr. Niroshan Darshana
Colombo,Chemistry for Advanced Level (London Syllabus),Mr. Sujeevan Krishnadass
Colombo 13,"Physics, Chemistry, SFT, OL Mathematics  2024",Mr. Pradeep Sanjeewa
Colombo 6,"Physics, Chemistry, SFT, OL Mathematics  2024",Mr. Pradeep Sanjeewa
Dehiwala,"Physics, Chemistry, SFT, OL Mathematics  2024",Mr. Pradeep Sanjeewa
Maharagama,2025/2024/2023 GCE Advanced Level Chemistry & Combined Maths (Sinhala Medium),Mr. Binura Perera
Nugegoda,2025/2024/2023 GCE Advanced Level Chemistry & Combined Maths (Sinhala Medium),Mr. Binura Perera
Colombo,2025/2024/2023 GCE Advanced Level Chemistry & Combined Maths (Sinhala Medium),Mr. Binura Perera
Nugegoda,Real Time Paper Class - Chemistry A-Level 2022,Mr. Geeth Hewavitharana
Colombo 5,chemistry physics sft 2023,Mr. Pradeep  sanjeewa
Ja-Ela,Advanced Level Chemistry,Ms. Tharushi  Silva
Kottawa,A/L Chemistry English Medium/Sinhala Medium Individual classes/Small Groups,Mr. Athula Karunathilake
Panadura,A/L Chemistry English Medium/Sinhala Medium Individual classes/Small Groups,Mr. Athula Karunathilake
Gampaha,A/L Chemistry English Medium/Sinhala Medium Individual classes/Small Groups,Mr. Athula Karunathilake
Colombo 6,Online English and Tamil medium Science and A/L chemistry local syllabus,Ms. Ahalya Vimalanathan
Gampaha,A/L Chemistry Classes ( Online / Home Visit ),Mr. Virantha Dasanayake
Colombo 4,A/L Chemistry Classes ( Online / Home Visit ),Mr. Virantha Dasanayake
Dikwella,AL Chemistry Sinhala medium Online Classes and Individual classes,Ms. Sanduni Shashikala
Akuressa,AL Chemistry Sinhala medium Online Classes and Individual classes,Ms. Sanduni Shashikala
Horapawita,AL Chemistry Sinhala medium Online Classes and Individual classes,Ms. Sanduni Shashikala
Deiyandara,AL Chemistry Sinhala medium Online Classes and Individual classes,Ms. Sanduni Shashikala
Hakmana,AL Chemistry Sinhala medium Online Classes and Individual classes,Ms. Sanduni Shashikala
Homagama,Chem Academics (chemistry for future scientists),Dr. Hasara Samaraweera
Athurugiriya,Chem Academics (chemistry for future scientists),Dr. Hasara Samaraweera
Nugegoda,Chemistry 2024 à¶…à¶½à·”à¶­à·Šà¶¸ à¶´à¶±à·Šà¶­à·’ Home visit/Online,Mr. Sanjeewa Kandungamuwa
Battaramulla,Chemistry 2024 à¶…à¶½à·”à¶­à·Šà¶¸ à¶´à¶±à·Šà¶­à·’ Home visit/Online,Mr. Sanjeewa Kandungamuwa
Athurugiriya,Chemistry 2024 à¶…à¶½à·”à¶­à·Šà¶¸ à¶´à¶±à·Šà¶­à·’ Home visit/Online,Mr. Sanjeewa Kandungamuwa
Bellanwila,Chemistry 2024 à¶…à¶½à·”à¶­à·Šà¶¸ à¶´à¶±à·Šà¶­à·’ Home visit/Online,Mr. Sanjeewa Kandungamuwa
Bokundara,Chemistry 2024 à¶…à¶½à·”à¶­à·Šà¶¸ à¶´à¶±à·Šà¶­à·’ Home visit/Online,Mr. Sanjeewa Kandungamuwa
Colombo 5,physics chemistry  sft,Mr. Pradeep  senarathna
Anuradhapura,Government A/L Chemistry Teacher,Mr. Chandana Kumara
Yatinuwara,G.C.E. (A/L) Chemistry online classes (Sinhala medium),Mrs. Amali Epa
Ambalantota,G.C.E. (A/L) Chemistry online classes (Sinhala medium),Mrs. Amali Epa
Boralesgamuwa,"AL Chemistry 2024 Sinhala /English medium, FREE for 1st month",Mr. Pradeep Nanayakkara
Piliyandala,"AL Chemistry 2024 Sinhala /English medium, FREE for 1st month",Mr. Pradeep Nanayakkara
Maharagama,"AL Chemistry 2024 Sinhala /English medium, FREE for 1st month",Mr. Pradeep Nanayakkara
Moratuwa,"AL Chemistry 2024 Sinhala /English medium, FREE for 1st month",Mr. Pradeep Nanayakkara
Nugegoda,"AL Chemistry 2024 Sinhala /English medium, FREE for 1st month",Mr. Pradeep Nanayakkara
Horana,English Medium Chemistry Classes(Local A/L),Mrs. Sanlakshya Kateepearachchi
Athurugiriya,physics / chemistry /sft 2023,Mr. Pradeep  bandara
Kurunegala,A/L chemistry 2022,Mr. Madhawa Ranathunga
Battaramulla,2023/2024/2025 AL Chemistry Home Visiting Classes Around Colombo,Mr. Supasan Weerasinghe
Colombo 2,2023/2024/2025 AL Chemistry Home Visiting Classes Around Colombo,Mr. Supasan Weerasinghe
Colombo 3,2023/2024/2025 AL Chemistry Home Visiting Classes Around Colombo,Mr. Supasan Weerasinghe
Colombo 4,2023/2024/2025 AL Chemistry Home Visiting Classes Around Colombo,Mr. Supasan Weerasinghe
Colombo 5,2023/2024/2025 AL Chemistry Home Visiting Classes Around Colombo,Mr. Supasan Weerasinghe
Athurugiriya,Chemistry / Combined Maths  for 2024 /2023 /2022AL,Mr. Ishara  Sandanuwan
Malabe,Chemistry / Combined Maths  for 2024 /2023 /2022AL,Mr. Ishara  Sandanuwan
Padukka,Chemistry / Combined Maths  for 2024 /2023 /2022AL,Mr. Ishara  Sandanuwan
Battaramulla,Chemistry / Combined Maths  for 2024 /2023 /2022AL,Mr. Ishara  Sandanuwan
Kelaniya,Chemistry / Combined Maths  for 2024 /2023 /2022AL,Mr. Ishara  Sandanuwan
Moratuwa,chemistry 2021/2022  theory / revision,Mr. sanjeewa bandara
Negombo,Biology / Chemistry /Mathematics - Online Classes  ( Local / Edexcel &Cambridge),Mr. Sumith Fonseka
Wellawatte,"Online Chemistry, Biology and Science Classes (English / Tamil medium) (O/L and A/L)",Ms. Varmila Kulasegaram
Thettativu,"Online Chemistry, Biology and Science Classes (English / Tamil medium) (O/L and A/L)",Ms. Varmila Kulasegaram
Balangoda,Chemistry Online Revision Class,Mrs. Dilini  Weragala
Galle,Advanced Level Chemistry Individual Online All Island 2022/2023..Theory Revision-à¶¢à·à¶­à·’à¶š à¶´à·à·ƒà¶½à·Š,Mr. wipula wickramarathna
Kandy,Advanced Level Chemistry Individual Online All Island 2022/2023..Theory Revision-à¶¢à·à¶­à·’à¶š à¶´à·à·ƒà¶½à·Š,Mr. wipula wickramarathna
Colombo 3,Advanced Level Chemistry Individual Online All Island 2022/2023..Theory Revision-à¶¢à·à¶­à·’à¶š à¶´à·à·ƒà¶½à·Š,Mr. wipula wickramarathna
Panadura,Advanced Level Chemistry Individual Online All Island 2022/2023..Theory Revision-à¶¢à·à¶­à·’à¶š à¶´à·à·ƒà¶½à·Š,Mr. wipula wickramarathna
Ampitiya,à¶»à·ƒà·à¶ºà¶± à·€à·’à¶¯à·Šâ€à¶ºà·à·€ (Chemistry) - group & Individual classes,Mr. Chandana Wansakkara
Aniwatta,à¶»à·ƒà·à¶ºà¶± à·€à·’à¶¯à·Šâ€à¶ºà·à·€ (Chemistry) - group & Individual classes,Mr. Chandana Wansakkara
Asgiriya,à¶»à·ƒà·à¶ºà¶± à·€à·’à¶¯à·Šâ€à¶ºà·à·€ (Chemistry) - group & Individual classes,Mr. Chandana Wansakkara
Balagolla,à¶»à·ƒà·à¶ºà¶± à·€à·’à¶¯à·Šâ€à¶ºà·à·€ (Chemistry) - group & Individual classes,Mr. Chandana Wansakkara
Digana,à¶»à·ƒà·à¶ºà¶± à·€à·’à¶¯à·Šâ€à¶ºà·à·€ (Chemistry) - group & Individual classes,Mr. Chandana Wansakkara
Colombo 6,physics  chemistry  sft  science  maths 2022,Mr. Pradeep  senarathna
Athurugiriya,Chemistry classes for cambridge and local syllabus,Mrs. Kaushika  Hettiarachchi
Aladeniya,Chemistry classes for cambridge and local syllabus,Mrs. Kaushika  Hettiarachchi
Battaramulla,G.C.E. A/L Chemistry Class (Online),Mr. Randula Liyanage
Malabe,G.C.E. A/L Chemistry Class (Online),Mr. Randula Liyanage
Boralesgamuwa,"CHEMISTRY, PHYSICS & SCIENCE",Mr. Ashan Harshana
Nugegoda,Chemistry Theory Class 2023 A/L Individual/Group,Mr. Uween Gamage
Nugegoda,Chemistry Theory Class 2023 A/L Individual/Group,Mr. Uween Gamage
Battaramulla,"2023 A/L Chemistry(English Medium) Grade 10,11 Science (English medium)",Mr. W B M Tharaka
Kadawatha,"2023 A/L Chemistry(English Medium) Grade 10,11 Science (English medium)",Mr. W B M Tharaka
Ampara,"2023 A/L Chemistry(English Medium) Grade 10,11 Science (English medium)",Mr. W B M Tharaka
Buttala,"2023 A/L Chemistry(English Medium) Grade 10,11 Science (English medium)",Mr. W B M Tharaka
Dombagahawela,"2023 A/L Chemistry(English Medium) Grade 10,11 Science (English medium)",Mr. W B M Tharaka
Homagama,A/L chemistry  (online/individual/group classes),Ms. Shermila Dushani
Athurugiriya,"Advanced Level Chemistry for Local, Cambridge and EDEXCEL students in English and Sinhala Medium",Dr. SANJEEWA Pathirana
Kandy,2021 G.C.E. O/L and A/L Chemistry online paper classes,Mrs. Neranjana Kumari
Ambalangoda,Advanced Level Chemistry Online/Home visit classes - Theory/ Revision,Mr. R.M. Lal Chulawansa
Ambalangoda,Advanced Level Chemistry Online/Home visit classes - Theory/ Revision,Mr. R.M. Lal Chulawansa
Avissawella,AL Chemistry individual & Group Classes,Mr. Wageesha Jayalath
Avissawella,AL Chemistry individual & Group Classes,Mr. Wageesha Jayalath
Avissawella,AL Chemistry individual & Group Classes,Mr. Wageesha Jayalath
Kottawa,AL Chemistry individual & Group Classes,Mr. Wageesha Jayalath
Homagama,AL Chemistry individual & Group Classes,Mr. Wageesha Jayalath
Maharagama,"G.C.E. (A/L) Chemistry (Sinhala & English medium) Theory, Revision & Paper class",Mr. Yugan Maleesha
Colombo 1,"G.C.E. (A/L) Chemistry (Sinhala & English medium) Theory, Revision & Paper class",Mr. Yugan Maleesha
Colombo 3,"G.C.E. (A/L) Chemistry (Sinhala & English medium) Theory, Revision & Paper class",Mr. Yugan Maleesha
Colombo 5,"G.C.E. (A/L) Chemistry (Sinhala & English medium) Theory, Revision & Paper class",Mr. Yugan Maleesha
Colombo 7,"G.C.E. (A/L) Chemistry (Sinhala & English medium) Theory, Revision & Paper class",Mr. Yugan Maleesha
Gampaha,"ONLINE & HOME VISIT - CHEMISTRY, PHYSICS- SCIENCE",Mr. D.M.D. Samantha Dissanayake
Dehiwala,"SCIENCE ,MATHS, CHEMISTRY  (HOME VISIT)CLASSES FROM GRADE 6 TO ADVANCE LEVEL (ZOOM CLASSES AS WELL)",Mr. Mohammed  Assamith
Wellawatte,"SCIENCE ,MATHS, CHEMISTRY  (HOME VISIT)CLASSES FROM GRADE 6 TO ADVANCE LEVEL (ZOOM CLASSES AS WELL)",Mr. Mohammed  Assamith
Avissawella,"SCIENCE ,MATHS, CHEMISTRY  (HOME VISIT)CLASSES FROM GRADE 6 TO ADVANCE LEVEL (ZOOM CLASSES AS WELL)",Mr. Mohammed  Assamith
Colombo 15,"SCIENCE ,MATHS, CHEMISTRY  (HOME VISIT)CLASSES FROM GRADE 6 TO ADVANCE LEVEL (ZOOM CLASSES AS WELL)",Mr. Mohammed  Assamith
Mount Lavinia,"SCIENCE ,MATHS, CHEMISTRY  (HOME VISIT)CLASSES FROM GRADE 6 TO ADVANCE LEVEL (ZOOM CLASSES AS WELL)",Mr. Mohammed  Assamith
Homagama,Chemistry Tution Online and individual,Mr. Bandula Malage
Ethul Kotte,Chemistry 2023,Mr. Hirantha  Bombuwala
Colombo 1,Advanced level chemistry,Mr. nirmad samarakoon
Kaduwela,Advanced level chemistry,Mr. nirmad samarakoon
Colombo 7,Advanced level chemistry,Mr. nirmad samarakoon
Ethul Kotte,Advanced level chemistry,Mr. nirmad samarakoon
Homagama,Advanced level chemistry,Mr. nirmad samarakoon
Mount Lavinia,Chemistry Cambridge/ Edexcel/ Local Tuition Classes (Theory & Revision & Paper),Mrs. Apiramy Suganthan
Colombo 5,Chemistry Cambridge/ Edexcel/ Local Tuition Classes (Theory & Revision & Paper),Mrs. Apiramy Suganthan
Colombo 6,Chemistry Cambridge/ Edexcel/ Local Tuition Classes (Theory & Revision & Paper),Mrs. Apiramy Suganthan
Dehiwala,Chemistry Cambridge/ Edexcel/ Local Tuition Classes (Theory & Revision & Paper),Mrs. Apiramy Suganthan
Ratmalana,Chemistry Cambridge/ Edexcel/ Local Tuition Classes (Theory & Revision & Paper),Mrs. Apiramy Suganthan
Kandy,2021 A/L CHEMISTRY REVISION AND PAPER CLASS,Mr. Isuru Ekanayake
Kundasale,2021 A/L CHEMISTRY REVISION AND PAPER CLASS,Mr. Isuru Ekanayake
Digana,2021 A/L CHEMISTRY REVISION AND PAPER CLASS,Mr. Isuru Ekanayake
Nugegoda,Online ZOOM Classes for A/L CHEMISTRY â€“ ENGLISH/SINHALA,Ms. Nimali Uduwaka
Kandy,G.C.E Advance Level/ Edxcel- Chemistry,Mr. Mahesh Wijesekara
Battaramulla,"A/L PHYSICS PAST PAPER CLASS,Maths,Science,Physics,Chemistry,Sinhala/English medium, Local/IGCSE/Cambridge Syllabus",Mr. Kushan Peiris
Ratmalana,"A/L PHYSICS PAST PAPER CLASS,Maths,Science,Physics,Chemistry,Sinhala/English medium, Local/IGCSE/Cambridge Syllabus",Mr. Kushan Peiris
Bellanwila,"A/L PHYSICS PAST PAPER CLASS,Maths,Science,Physics,Chemistry,Sinhala/English medium, Local/IGCSE/Cambridge Syllabus",Mr. Kushan Peiris
Colombo 3,"A/L PHYSICS PAST PAPER CLASS,Maths,Science,Physics,Chemistry,Sinhala/English medium, Local/IGCSE/Cambridge Syllabus",Mr. Kushan Peiris
Colombo 7,"A/L PHYSICS PAST PAPER CLASS,Maths,Science,Physics,Chemistry,Sinhala/English medium, Local/IGCSE/Cambridge Syllabus",Mr. Kushan Peiris
Athurugiriya,"Chemistry 2025, 2024, 2023 AL English medium (Theory, Revision, Paper)",Mr. Sudara Jayatissa
Piliyandala,"Chemistry 2025, 2024, 2023 AL English medium (Theory, Revision, Paper)",Mr. Sudara Jayatissa
Kottawa,"Chemistry 2025, 2024, 2023 AL English medium (Theory, Revision, Paper)",Mr. Sudara Jayatissa
Maharagama,"Chemistry 2025, 2024, 2023 AL English medium (Theory, Revision, Paper)",Mr. Sudara Jayatissa
Nugegoda,"Chemistry 2025, 2024, 2023 AL English medium (Theory, Revision, Paper)",Mr. Sudara Jayatissa
Athurugiriya,"CHEMISTRY,PHYSICS & SCIENCE",Mr. Dushan Dananjaya
Akuregoda,"CHEMISTRY,PHYSICS & SCIENCE",Mr. Dushan Dananjaya
Kohuwala,"CHEMISTRY,PHYSICS & SCIENCE",Mr. Dushan Dananjaya
Kesbewa,"CHEMISTRY,PHYSICS & SCIENCE",Mr. Dushan Dananjaya
Maharagama,"CHEMISTRY,PHYSICS & SCIENCE",Mr. Dushan Dananjaya
Athurugiriya,"A/L, Cambridge Chemistry and O/L,Cambridge Science  classes",Mr. Lakmal Gonawala
Battaramulla,"A/L, Cambridge Chemistry and O/L,Cambridge Science  classes",Mr. Lakmal Gonawala
Bellanwila,"A/L, Cambridge Chemistry and O/L,Cambridge Science  classes",Mr. Lakmal Gonawala
Boralesgamuwa,"A/L, Cambridge Chemistry and O/L,Cambridge Science  classes",Mr. Lakmal Gonawala
Gangodawilla,"A/L, Cambridge Chemistry and O/L,Cambridge Science  classes",Mr. Lakmal Gonawala
Nugegoda,2021/22 A Level Chemistry/ Biology individual / small group classes,Ms. Chathu Dewanarayana
Maharagama,2021/22 A Level Chemistry/ Biology individual / small group classes,Ms. Chathu Dewanarayana
Kalutara,2021/22 A Level Chemistry/ Biology individual / small group classes,Ms. Chathu Dewanarayana
Divulapitiya,Chemistry,Ms. Nadeera  Wijethunga
Kotadeniyawa,Chemistry,Ms. Nadeera  Wijethunga
Mirigama,Chemistry,Ms. Nadeera  Wijethunga
Kiribathgoda,A/L Chemistry Revision and Paper Discussion.,Ms. Binari  Perera
Kelaniya,A/L Chemistry Revision and Paper Discussion.,Ms. Binari  Perera
Biyagama,A/L Chemistry Revision and Paper Discussion.,Ms. Binari  Perera
Dalugama,A/L Chemistry Revision and Paper Discussion.,Ms. Binari  Perera
GonawalaWP,A/L Chemistry Revision and Paper Discussion.,Ms. Binari  Perera
Kurunegala,Real 'English medium' CHEMISTRY,Mr. Isuru Rathnayake
Panadura,A/L chemistry,Ms. Jefe Center
Kegalle,A/L chemistry,Ms. Jefe Center
Nugegoda,A/L chemistry,Ms. Jefe Center
Kurunegala,Chemistry in kurunagala,Mr. Damith Warnasooriya
Battaramulla,"Chemistry 2023 2024 | Theory Revision | Online & Home visit | Guaranteed ""A"" pass",Mr. Ushan Deemanka
Malabe,"Chemistry 2023 2024 | Theory Revision | Online & Home visit | Guaranteed ""A"" pass",Mr. Ushan Deemanka
Kaduwela,"Chemistry 2023 2024 | Theory Revision | Online & Home visit | Guaranteed ""A"" pass",Mr. Ushan Deemanka
Nugegoda,"Chemistry 2023 2024 | Theory Revision | Online & Home visit | Guaranteed ""A"" pass",Mr. Ushan Deemanka
Maharagama,"Chemistry 2023 2024 | Theory Revision | Online & Home visit | Guaranteed ""A"" pass",Mr. Ushan Deemanka
Gampaha,Advanced Level Chemistry,Mr. Anoja Gunawardena
Negombo,Advanced Level Chemistry,Mr. Anoja Gunawardena
Nugegoda,Advanced Level Chemistry,Mr. Anoja Gunawardena
Kalutara,Advanced Level Chemistry,Mr. Anoja Gunawardena
Galigamuwa,Advanced Level Chemistry tutoring,Mr. Tharinda  Thilakarathna
Rambukkana,Advanced Level Chemistry tutoring,Mr. Tharinda  Thilakarathna
Warakapola,Advanced Level Chemistry tutoring,Mr. Tharinda  Thilakarathna
Alawwa,Advanced Level Chemistry tutoring,Mr. Tharinda  Thilakarathna
Kotiyakumbura,Advanced Level Chemistry tutoring,Mr. Tharinda  Thilakarathna
Kadawatha,AL CHEMISTRY ( 2022/2023) - Online & Physical Classes,Mr. Raveen Hansaka
Ganemulla,AL CHEMISTRY ( 2022/2023) - Online & Physical Classes,Mr. Raveen Hansaka
Delgoda,AL CHEMISTRY ( 2022/2023) - Online & Physical Classes,Mr. Raveen Hansaka
Kandana,AL CHEMISTRY ( 2022/2023) - Online & Physical Classes,Mr. Raveen Hansaka
Ja-Ela,AL CHEMISTRY ( 2022/2023) - Online & Physical Classes,Mr. Raveen Hansaka
Battaramulla,"O/L Science(6-11), A/L chemistry",Mr. I.M.S Piyumantha Ilankoon
Kaduwela,"O/L Science(6-11), A/L chemistry",Mr. I.M.S Piyumantha Ilankoon
Kolonnawa,"O/L Science(6-11), A/L chemistry",Mr. I.M.S Piyumantha Ilankoon
Kelaniya,"O/L Science(6-11), A/L chemistry",Mr. I.M.S Piyumantha Ilankoon
Malabe,"O/L Science(6-11), A/L chemistry",Mr. I.M.S Piyumantha Ilankoon
Kohuwala,"A/L Chemistry Theory , Paper and Quick Revision 2020 | 2021 | 2022",Mr. Dulitha Prasanna
Nugegoda,"A/L Chemistry Theory , Paper and Quick Revision 2020 | 2021 | 2022",Mr. Dulitha Prasanna
Pepiliyana,"A/L Chemistry Theory , Paper and Quick Revision 2020 | 2021 | 2022",Mr. Dulitha Prasanna
Piliyandala,"A/L Chemistry Theory , Paper and Quick Revision 2020 | 2021 | 2022",Mr. Dulitha Prasanna
Thimbirigasyaya,"A/L Chemistry Theory , Paper and Quick Revision 2020 | 2021 | 2022",Mr. Dulitha Prasanna
Biyagama,A/L chemistry Theory / Revision,Mr. Thejana Dehan
Kiribathgoda,A/L chemistry Theory / Revision,Mr. Thejana Dehan
Malabe,A/L chemistry Theory / Revision,Mr. Thejana Dehan
Alutgama,Advanced level Chemistry,Ms. Pavithra  Lokusuriya
Benthara,Advanced level Chemistry,Ms. Pavithra  Lokusuriya
Kalutara,Advanced level Chemistry,Ms. Pavithra  Lokusuriya
Panadura,Advanced level Chemistry,Ms. Pavithra  Lokusuriya
Paiyagala,Advanced level Chemistry,Ms. Pavithra  Lokusuriya
Athurugiriya,A/L Chemistry,Mrs. Wasana Fernando
Battaramulla,A/L Chemistry,Mrs. Wasana Fernando
Boralesgamuwa,A/L Chemistry,Mrs. Wasana Fernando
Bellanwila,A/L Chemistry,Mrs. Wasana Fernando
Gangodawilla,A/L Chemistry,Mrs. Wasana Fernando
